#{"t_start": 1642403457.640125, "env_id": null}
r,l,t
0.852254,4,7.247278
0.499003,4,7.25331
0.998961,4,7.260272
0.765962,4,7.267276
0.878616,4,7.277092
0.871771,4,7.28641
0.72029,4,7.29478
0.536443,4,7.301746
0.950354,4,7.308341
0.484948,4,7.315518
0.832082,4,7.322576
0.352715,4,7.329371
0.629184,4,7.335363
0.439916,4,7.341364
0.683795,4,7.347321
0.727488,4,7.353364
0.768035,4,7.358362
0.752802,4,7.365363
0.740139,4,7.370364
0.80419,4,7.389172
0.612207,4,7.398545
0.309028,4,7.408532
0.522012,4,7.4184
0.700567,4,7.425419
0.673944,4,7.436133
0.353674,4,7.450903
0.578108,4,7.465844
0.990778,4,7.480284
0.946837,4,7.489378
0.805129,4,7.496887
0.607889,4,7.504888
0.617186,4,9.433789
0.597228,4,9.455084
0.965657,4,9.471125
0.856221,4,9.491054
0.33082,4,9.510531
0.913557,4,9.531568
0.735821,4,9.553349
0.967928,4,9.573555
0.533944,4,9.59988
0.774161,4,9.62062
0.471033,4,9.639053
0.742017,4,9.664708
