#{"t_start": 1642371885.697059, "env_id": null}
r,l,t
0.665066,12,25.24469
0.829194,12,25.267694
0.50067,12,25.286336
0.07654,12,25.307268
0.590777,12,25.327237
0.712586,12,26.205804
0.704433,12,26.224443
0.366021,12,26.243188
0.401112,12,26.263549
0.858771,12,26.281332
0.113861,12,26.299156
0.392675,12,26.317063
0.550156,12,26.335301
0.081907,12,26.354026
0.643191,12,26.374111
0.416088,12,26.393809
0.470775,12,26.411504
0.099102,12,26.428989
0.347025,12,26.444831
0.436592,12,26.462036
0.841838,12,26.481766
0.413359,12,26.499603
0.476125,12,26.515829
0.833212,12,26.535788
0.174445,12,26.565053
0.813313,12,26.584443
0.676388,12,26.605709
0.229734,12,26.625325
0.392109,12,26.646288
0.473984,12,26.663448
0.165101,12,26.682203
0.55475,12,26.705179
0.769292,12,26.722225
0.704766,12,26.745597
0.330908,12,26.76393
0.843986,12,26.78576
0.429198,12,26.81159
0.48015,12,26.840049
0.480711,12,26.868303
0.615707,12,26.89581
0.375888,12,26.912066
0.048176,12,26.931414
0.573946,12,26.948881
0.463671,12,26.96488
0.569479,12,26.981232
0.531585,12,26.998479
0.601527,12,27.018055
0.591226,12,27.037054
0.247147,12,27.054669
0.524058,12,27.070586
0.521034,12,27.087994
0.377705,12,27.116838
0.641772,12,27.146064
0.73187,12,27.165027
0.699096,12,27.184144
0.672185,12,27.202425
0.643343,12,27.223685
0.568988,12,27.244745
0.253393,12,27.264849
0.26699,12,27.290694
0.489633,12,27.32803
0.556849,12,27.363786
0.498589,12,27.380783
0.600819,12,27.398981
0.085765,12,27.419705
0.505447,12,27.438267
0.804458,12,27.456798
0.402717,12,27.474617
0.800004,12,27.502228
0.353075,12,27.520178
0.12626,12,27.540175
0.506158,12,27.55704
0.577447,12,27.574572
0.376591,12,27.602883
0.741727,12,27.619763
0.792719,12,27.639469
0.196087,12,27.656384
0.462654,12,27.674536
0.069461,12,27.690494
0.662888,12,27.710375
0.25276,12,27.730565
0.231877,12,27.746998
0.563838,12,27.765969
0.320238,12,27.78381
0.603904,12,27.801143
0.366913,12,27.821792
0.040673,12,27.851853
0.680562,12,27.869516
0.300841,12,27.888001
0.623835,12,27.904816
0.371384,12,27.921729
0.646968,12,27.939726
0.182955,12,27.956783
0.151013,12,27.973422
0.36539,12,27.990313
0.327983,12,28.010746
0.306637,12,28.027099
0.537269,12,28.046952
0.608228,12,28.067571
0.592955,12,28.085559
0.510325,12,28.104936
0.628931,12,28.123301
0.281767,12,28.143117
0.562336,12,28.161443
0.811926,12,28.178498
0.505284,12,28.198103
0.45322,12,28.230698
0.628144,12,28.267906
0.600209,12,28.285947
0.184473,12,28.307488
0.832192,12,28.32492
0.615422,12,28.346919
0.34414,12,28.36765
0.754758,12,28.393391
0.239729,12,28.415126
0.293871,12,28.434781
0.183592,12,28.453844
0.752119,12,28.47317
0.506471,12,28.500157
0.740161,12,28.527192
0.416233,12,28.553729
0.140129,12,28.570183
0.233627,12,28.587563
0.162725,12,28.607001
0.707648,12,28.624042
0.596075,12,28.644462
0.495099,12,28.664219
0.345603,12,28.684576
0.684097,12,28.706352
0.412891,12,28.730714
0.440272,12,28.751773
0.429025,12,28.776326
0.690612,12,28.801552
0.514167,12,28.824506
0.351043,12,28.842651
0.518997,12,28.861654
0.252606,12,28.880069
0.226177,12,28.902162
0.327051,12,28.92112
0.280863,12,28.944698
0.416408,12,28.964806
0.634896,12,28.986817
0.962634,12,29.011075
0.323199,12,29.030951
0.716868,12,29.050951
0.429323,12,29.067576
0.535414,12,29.085393
0.198281,12,29.103117
0.613868,12,29.120077
0.328377,12,29.136831
0.730997,12,29.153566
0.644809,12,29.171794
0.116926,12,29.197472
0.24786,12,29.216454
0.375031,12,29.233519
0.547049,12,29.251392
0.621665,12,29.274352
0.619423,12,29.306039
0.489106,12,29.323789
0.499648,12,29.34001
0.066265,12,29.356523
0.536379,12,29.373438
0.210579,12,29.395435
0.409266,12,29.422128
0.626995,12,29.43931
0.532287,12,29.457641
0.14433,12,29.476051
0.225772,12,29.507454
0.600692,12,29.526501
0.310408,12,29.544413
0.759803,12,29.562831
0.5515,12,29.580247
0.320067,12,29.614358
0.458484,12,29.6479
0.507586,12,29.664661
0.416264,12,29.681822
0.499995,12,30.572471
0.765201,12,30.590525
0.51676,12,30.607134
0.187615,12,30.624777
0.371976,12,30.64597
0.634027,12,30.665169
0.851,12,30.68314
0.669709,12,30.702593
0.059848,12,30.719456
0.68378,12,30.738132
0.18664,12,30.755203
0.57,12,30.7712
0.709914,12,30.803816
0.531307,12,30.832047
0.590783,12,30.852128
0.234811,12,30.869929
0.738196,12,30.885896
0.293695,12,30.903866
0.552629,12,30.921611
0.322267,12,30.943351
0.183286,12,30.966342
0.140111,12,30.98355
0.225289,12,31.001069
0.404585,12,31.022578
0.224054,12,31.041786
0.646215,12,31.060564
0.506992,12,31.078956
0.391695,12,31.096711
0.46666,12,31.113666
0.439141,12,31.130886
0.652616,12,31.146879
0.5337,12,31.166762
0.877848,12,31.204975
0.838607,12,31.228121
0.586785,12,31.244261
0.262013,12,31.260018
0.110102,12,31.276781
0.559175,12,31.293884
0.549344,12,31.310413
0.625846,12,31.329101
0.653063,12,31.347811
0.877256,12,31.36781
0.666138,12,31.393125
0.059715,12,31.41182
0.211536,12,31.42785
0.292782,12,31.444783
0.218882,12,31.460968
0.567089,12,31.477156
0.299139,12,31.495186
0.753003,12,31.515717
0.68917,12,31.538682
0.727072,12,31.567862
0.539027,12,31.592036
0.869241,12,31.616073
0.466078,12,31.644756
0.358498,12,31.669437
0.581562,12,31.689531
0.422924,12,31.706708
0.188798,12,31.724658
0.539867,12,31.750506
0.692619,12,31.772799
0.63714,12,31.789802
0.83455,12,31.806439
0.646761,12,31.832453
0.497469,12,31.870816
0.550547,12,31.897606
0.26272,12,31.924893
0.343862,12,31.954441
0.490054,12,31.97282
0.21193,12,32.00105
0.159719,12,32.028228
0.342802,12,32.044224
0.405984,12,32.06101
0.175432,12,32.079021
0.731732,12,32.096023
0.84603,12,32.112992
0.500085,12,32.129949
0.791461,12,32.161354
0.420761,12,32.194531
0.801574,12,32.226534
0.186353,12,32.256754
0.845828,12,32.280113
0.792071,12,32.297071
0.430566,12,32.314208
0.557794,12,32.331252
0.469538,12,32.34913
0.222216,12,32.366918
0.622912,12,32.389013
0.245343,12,32.406748
0.29278,12,32.424799
0.23448,12,32.442657
0.282995,12,32.461001
0.384218,12,32.479635
0.718638,12,32.500823
0.679897,12,32.517971
0.498894,12,32.538198
0.541641,12,32.555834
0.207796,12,32.575068
0.484514,12,32.592269
0.486569,12,32.611064
0.445984,12,32.627924
0.487243,12,32.657666
0.519049,12,32.682435
0.762987,12,32.715468
0.511169,12,32.745624
0.421116,12,32.777811
0.633815,12,32.794701
0.527081,12,32.81101
0.518871,12,32.830376
0.317473,12,32.848152
0.357166,12,32.87525
0.906753,12,32.898652
0.161973,12,32.921679
0.375581,12,32.941632
0.767171,12,32.975204
0.442417,12,33.005757
0.632556,12,33.035556
0.246159,12,33.052877
0.351929,12,33.072838
0.804681,12,33.091098
0.686382,12,33.109344
0.320547,12,33.129345
0.651985,12,33.146741
0.344909,12,33.165368
0.35177,12,33.185317
0.337923,12,33.20278
0.580165,12,33.224035
0.693776,12,33.244303
0.634103,12,33.262259
0.43886,12,33.28014
0.367156,12,33.296379
0.766448,12,33.315393
0.56772,12,33.340039
